Country,Year,GDP,GDP_Growth,GDP_per_Capita,Inflation,Unemployment,Population
Nigeria,2020,432198898467.795,-1.79425308274458,2019.65706326224,7.84914204720589,5.742,213996181.0
Rwanda,2000,2068836754.37431,8.37089593548548,251.86926386091,3.27539722143884,11.731,8213931.0
Rwanda,2005,2933819766.17656,9.3778991673686,324.016863847189,9.03080654832287,11.854,9054528.0
Rwanda,2010,6124756654.12346,7.33465645006753,593.624927744346,3.18717431895028,11.673,10317553.0
Rwanda,2015,8543760205.73641,8.8568555974538,733.998630392314,0.485928791648902,11.838,11640022.0
Rwanda,2020,10174386854.812,-3.37368746369782,778.701498787411,6.71183680148918,11.829,13065837.0
Sao Tome and Principe,2000,76198394.8202671,0.448368261692949,529.089383412262,9.97601520165648,14.4,144018.0
Sao Tome and Principe,2005,136450662.390592,6.61462475033599,844.169181884274,19.0925741408707,16.47,161639.0
Sao Tome and Principe,2010,190021192.489536,1.44845522890635,1045.20958234528,6.96532412446513,14.626,181802.0
Sao Tome and Principe,2015,259999643.047388,1.5397042826735,1298.10946596396,4.50369709639151,10.594,200291.0
Sao Tome and Principe,2020,471229484.607144,2.62485949543812,2167.22001796925,9.26827734771341,9.686,217435.0
Senegal,2000,6013185003.97525,3.88721095816793,603.233162455158,1.3086598487922,2.668,9968260.0
